name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,number_of_reviews,bathrooms,amenities,price,extra_people,last_review,Street,Country,Country_Code,Longitude,Latitude,availability_30,availability_60,availability_90,availability_365,review_scores_rating
Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3.0,51,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",80.00,15.00,2019-01-20 05:00:00,"Porto, Porto, Portugal",Portugal,PT,-8.61308,41.1413,28,47,74,239,89.0
Ocean View Waikiki Marina wprkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1.0,96,1.0,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",115.00,0.00,2019-02-07 05:00:00,"Honolulu, HI, United States",United States,US,-157.83919,21.28634,16,46,76,343,84.0
Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1,1.5,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",40.00,0.00,2016-01-31 05:00:00,"Brooklyn, NY, United States",United States,US,-73.93615,40.69791,0,0,0,0,100.0
New York City Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,70,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",135.00,0.00,2018-08-12 04:00:00,"New York, NY, United States",United States,US,-73.96523,40.79962,0,0,0,93,94.0
Copacabana Apartment Posto,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,70,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",119.00,40.00,2019-01-28 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.190849194463404,-22.984339360067814,7,19,33,118,98.0
Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",527.00,211.00,2016-04-02 04:00:00,"Kadıköy, İstanbul, Turkey",Turkey,TR,29.03133,40.98585,27,57,87,362,100.0
Catetes Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1.0,1,4.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",250.00,40.00,2016-02-10 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.18015675229857,-22.92638234778768,10,10,21,296,80.0
Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0.0,5,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",205.00,0.00,2018-02-18 05:00:00,"Brooklyn, NY, United States",United States,US,-73.94472,40.72778,30,31,31,243,88.0
Soho Cozy Spacious and Convenient,Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1.0,3,1.0,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",699.00,0.00,2018-03-27 04:00:00,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.15027,22.28158,0,0,0,0,100.0
Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,178,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",30.00,0.00,2019-02-09 05:00:00,"Porto, Porto, Portugal",Portugal,PT,-8.61123,41.15225,16,40,67,335,97.0
